"laus_code","state_fips_code","county_fips_code","county_and_state","year","labor_force","employed","unemployed","unemployment_rate_pct"
"CN1909900000000","19","99","Jasper County, IA","2019","20067","19478","589","2.9"
"CN1910100000000","19","101","Jefferson County, IA","2019","10253","10002","251","2.4"
"CN1910300000000","19","103","Johnson County, IA","2019","87724","85941","1783","2"
"CN1910500000000","19","105","Jones County, IA","2019","10876","10532","344","3.2"
"CN1910700000000","19","107","Keokuk County, IA","2019","5309","5136","173","3.3"
"CN1910900000000","19","109","Kossuth County, IA","2019","8537","8347","190","2.2"
"CN1911100000000","19","111","Lee County, IA","2019","16350","15706","644","3.9"
"CN1911300000000","19","113","Linn County, IA","2019","124290","120668","3622","2.9"
"CN1911500000000","19","115","Louisa County, IA","2019","6135","5947","188","3.1"
"CN1911700000000","19","117","Lucas County, IA","2019","4700","4603","97","2.1"
"CN1911900000000","19","119","Lyon County, IA","2019","7165","7047","118","1.6"
"CN1912100000000","19","121","Madison County, IA","2019","8722","8404","318","3.6"
"CN1912300000000","19","123","Mahaska County, IA","2019","12034","11729","305","2.5"
"CN1912500000000","19","125","Marion County, IA","2019","18614","18215","399","2.1"
"CN1912700000000","19","127","Marshall County, IA","2019","18204","17381","823","4.5"
"CN1912900000000","19","129","Mills County, IA","2019","7509","7334","175","2.3"
"CN1913100000000","19","131","Mitchell County, IA","2019","6952","6834","118","1.7"
"CN1913300000000","19","133","Monona County, IA","2019","4509","4375","134","3"
"CN1913500000000","19","135","Monroe County, IA","2019","4080","3955","125","3.1"
"CN1913700000000","19","137","Montgomery County, IA","2019","5077","4942","135","2.7"
"CN1913900000000","19","139","Muscatine County, IA","2019","22175","21539","636","2.9"
"CN1914100000000","19","141","O'Brien County, IA","2019","8367","8186","181","2.2"
"CN1914300000000","19","143","Osceola County, IA","2019","3578","3509","69","1.9"
"CN1914500000000","19","145","Page County, IA","2019","6478","6310","168","2.6"
"CN1914700000000","19","147","Palo Alto County, IA","2019","4855","4747","108","2.2"
"CN1914900000000","19","149","Plymouth County, IA","2019","15033","14695","338","2.2"
"CN1915100000000","19","151","Pocahontas County, IA","2019","4589","4501","88","1.9"
"CN1915300000000","19","153","Polk County, IA","2019","273646","265893","7753","2.8"
"CN1915500000000","19","155","Pottawattamie County, IA","2019","49299","48101","1198","2.4"
"CN1915700000000","19","157","Poweshiek County, IA","2019","10539","10258","281","2.7"
"CN1915900000000","19","159","Ringgold County, IA","2019","2511","2439","72","2.9"
"CN1916100000000","19","161","Sac County, IA","2019","5363","5236","127","2.4"
"CN1916300000000","19","163","Scott County, IA","2019","90711","87687","3024","3.3"
"CN1916500000000","19","165","Shelby County, IA","2019","6801","6657","144","2.1"
"CN1916700000000","19","167","Sioux County, IA","2019","21340","20939","401","1.9"
"CN1916900000000","19","169","Story County, IA","2019","59215","58115","1100","1.9"
"CN1917100000000","19","171","Tama County, IA","2019","9608","9308","300","3.1"
"CN1917300000000","19","173","Taylor County, IA","2019","3247","3185","62","1.9"
"CN1917500000000","19","175","Union County, IA","2019","6375","6169","206","3.2"
"CN1917700000000","19","177","Van Buren County, IA","2019","3714","3613","101","2.7"
"CN1917900000000","19","179","Wapello County, IA","2019","18068","17404","664","3.7"
"CN1918100000000","19","181","Warren County, IA","2019","28783","28053","730","2.5"
"CN1918300000000","19","183","Washington County, IA","2019","12211","11908","303","2.5"
"CN1918500000000","19","185","Wayne County, IA","2019","2848","2774","74","2.6"
"CN1918700000000","19","187","Webster County, IA","2019","19774","19159","615","3.1"
"CN1918900000000","19","189","Winnebago County, IA","2019","5195","5051","144","2.8"
"CN1919100000000","19","191","Winneshiek County, IA","2019","12125","11779","346","2.9"
"CN1919300000000","19","193","Woodbury County, IA","2019","56509","54977","1532","2.7"
"CN1919500000000","19","195","Worth County, IA","2019","4269","4149","120","2.8"
"CN1919700000000","19","197","Wright County, IA","2019","7050","6867","183","2.6"
"CN2000100000000","20","1","Allen County, KS","2019","6436","6209","227","3.5"
"CN2000300000000","20","3","Anderson County, KS","2019","4178","4041","137","3.3"
"CN2000500000000","20","5","Atchison County, KS","2019","6987","6626","361","5.2"
"CN2000700000000","20","7","Barber County, KS","2019","2319","2261","58","2.5"
"CN2000900000000","20","9","Barton County, KS","2019","13526","13103","423","3.1"
"CN2001100000000","20","11","Bourbon County, KS","2019","6700","6416","284","4.2"
"CN2001300000000","20","13","Brown County, KS","2019","5352","5183","169","3.2"
"CN2001500000000","20","15","Butler County, KS","2019","32491","31442","1049","3.2"
"CN2001700000000","20","17","Chase County, KS","2019","1524","1482","42","2.8"
"CN2001900000000","20","19","Chautauqua County, KS","2019","1434","1378","56","3.9"
"CN2002100000000","20","21","Cherokee County, KS","2019","10136","9788","348","3.4"
"CN2002300000000","20","23","Cheyenne County, KS","2019","1310","1278","32","2.4"
"CN2002500000000","20","25","Clark County, KS","2019","1072","1047","25","2.3"
"CN2002700000000","20","27","Clay County, KS","2019","3777","3656","121","3.2"
"CN2002900000000","20","29","Cloud County, KS","2019","3787","3665","122","3.2"
"CN2003100000000","20","31","Coffey County, KS","2019","4023","3841","182","4.5"
"CN2003300000000","20","33","Comanche County, KS","2019","869","846","23","2.6"
"CN2003500000000","20","35","Cowley County, KS","2019","16298","15749","549","3.4"
"CN2003700000000","20","37","Crawford County, KS","2019","18729","18003","726","3.9"
"CN2003900000000","20","39","Decatur County, KS","2019","1235","1198","37","3"
"CN2004100000000","20","41","Dickinson County, KS","2019","8842","8528","314","3.6"
"CN2004300000000","20","43","Doniphan County, KS","2019","4143","4004","139","3.4"
"CN2004500000000","20","45","Douglas County, KS","2019","65375","63457","1918","2.9"
"CN2004700000000","20","47","Edwards County, KS","2019","1488","1450","38","2.6"
"CN2004900000000","20","49","Elk County, KS","2019","1152","1109","43","3.7"
"CN2005100000000","20","51","Ellis County, KS","2019","17036","16649","387","2.3"
"CN2005300000000","20","53","Ellsworth County, KS","2019","2748","2671","77","2.8"
"CN2005500000000","20","55","Finney County, KS","2019","20602","20121","481","2.3"
"CN2005700000000","20","57","Ford County, KS","2019","17088","16664","424","2.5"
"CN2005900000000","20","59","Franklin County, KS","2019","14023","13557","466","3.3"
"CN2006100000000","20","61","Geary County, KS","2019","11311","10811","500","4.4"
"CN2006300000000","20","63","Gove County, KS","2019","1468","1437","31","2.1"
"CN2006500000000","20","65","Graham County, KS","2019","1114","1080","34","3.1"
"CN2006700000000","20","67","Grant County, KS","2019","3218","3126","92","2.9"
"CN2006900000000","20","69","Gray County, KS","2019","3230","3166","64","2"
"CN2007100000000","20","71","Greeley County, KS","2019","798","780","18","2.3"
"CN2007300000000","20","73","Greenwood County, KS","2019","3238","3136","102","3.2"
"CN2007500000000","20","75","Hamilton County, KS","2019","1613","1583","30","1.9"
"CN2007700000000","20","77","Harper County, KS","2019","2875","2802","73","2.5"
"CN2007900000000","20","79","Harvey County, KS","2019","16990","16496","494","2.9"
"CN2008100000000","20","81","Haskell County, KS","2019","2208","2158","50","2.3"
"CN2008300000000","20","83","Hodgeman County, KS","2019","987","963","24","2.4"
"CN2008500000000","20","85","Jackson County, KS","2019","7167","6959","208","2.9"
"CN2008700000000","20","87","Jefferson County, KS","2019","10096","9788","308","3.1"
"CN2008900000000","20","89","Jewell County, KS","2019","1291","1255","36","2.8"
"CN2009100000000","20","91","Johnson County, KS","2019","338777","329456","9321","2.8"
"CN2009300000000","20","93","Kearny County, KS","2019","2047","1999","48","2.3"
"CN2009500000000","20","95","Kingman County, KS","2019","3434","3325","109","3.2"
"CN2009700000000","20","97","Kiowa County, KS","2019","1297","1267","30","2.3"
"CN2009900000000","20","99","Labette County, KS","2019","10029","9629","400","4"
"CN2010100000000","20","101","Lane County, KS","2019","772","752","20","2.6"
"CN2010300000000","20","103","Leavenworth County, KS","2019","36474","35225","1249","3.4"
"CN2010500000000","20","105","Lincoln County, KS","2019","1681","1642","39","2.3"
"CN2010700000000","20","107","Linn County, KS","2019","4440","4176","264","5.9"
"CN2010900000000","20","109","Logan County, KS","2019","1623","1590","33","2"
"CN2011100000000","20","111","Lyon County, KS","2019","16666","16099","567","3.4"
"CN2011300000000","20","113","McPherson County, KS","2019","17171","16789","382","2.2"
"CN2011500000000","20","115","Marion County, KS","2019","5991","5814","177","3"
"CN2011700000000","20","117","Marshall County, KS","2019","5492","5335","157","2.9"
"CN2011900000000","20","119","Meade County, KS","2019","2155","2105","50","2.3"
"CN2012100000000","20","121","Miami County, KS","2019","17476","16898","578","3.3"
"CN2012300000000","20","123","Mitchell County, KS","2019","3359","3279","80","2.4"
"CN2012500000000","20","125","Montgomery County, KS","2019","14801","14196","605","4.1"
"CN2012700000000","20","127","Morris County, KS","2019","2993","2912","81","2.7"
"CN2012900000000","20","129","Morton County, KS","2019","1140","1107","33","2.9"
"CN2013100000000","20","131","Nemaha County, KS","2019","5368","5220","148","2.8"
"CN2013300000000","20","133","Neosho County, KS","2019","6130","5850","280","4.6"
"CN2013500000000","20","135","Ness County, KS","2019","1342","1308","34","2.5"
"CN2013700000000","20","137","Norton County, KS","2019","2700","2641","59","2.2"
"CN2013900000000","20","139","Osage County, KS","2019","7973","7689","284","3.6"
"CN2014100000000","20","141","Osborne County, KS","2019","2050","2009","41","2"
"CN2014300000000","20","143","Ottawa County, KS","2019","3009","2927","82","2.7"
"CN2014500000000","20","145","Pawnee County, KS","2019","2873","2791","82","2.9"
"CN2014700000000","20","147","Phillips County, KS","2019","2638","2569","69","2.6"
"CN2014900000000","20","149","Pottawatomie County, KS","2019","12410","12062","348","2.8"
"CN2015100000000","20","151","Pratt County, KS","2019","4907","4783","124","2.5"
"CN2015300000000","20","153","Rawlins County, KS","2019","1490","1457","33","2.2"
"CN2015500000000","20","155","Reno County, KS","2019","29642","28692","950","3.2"
"CN2015700000000","20","157","Republic County, KS","2019","2263","2205","58","2.6"
"CN2015900000000","20","159","Rice County, KS","2019","5208","5063","145","2.8"
"CN2016100000000","20","161","Riley County, KS","2019","35046","34062","984","2.8"
"CN2016300000000","20","163","Rooks County, KS","2019","2538","2448","90","3.5"
"CN2016500000000","20","165","Rush County, KS","2019","1632","1586","46","2.8"
"CN2016700000000","20","167","Russell County, KS","2019","3296","3200","96","2.9"
"CN2016900000000","20","169","Saline County, KS","2019","30176","29269","907","3"
"CN2017100000000","20","171","Scott County, KS","2019","2832","2778","54","1.9"
"CN2017300000000","20","173","Sedgwick County, KS","2019","251155","242477","8678","3.5"
"CN2017500000000","20","175","Seward County, KS","2019","9516","9222","294","3.1"
"CN2017700000000","20","177","Shawnee County, KS","2019","90410","87395","3015","3.3"
"CN2017900000000","20","179","Sheridan County, KS","2019","1405","1374","31","2.2"
"CN2018100000000","20","181","Sherman County, KS","2019","2844","2766","78","2.7"
"CN2018300000000","20","183","Smith County, KS","2019","1973","1923","50","2.5"
"CN2018500000000","20","185","Stafford County, KS","2019","2010","1956","54","2.7"
"CN2018700000000","20","187","Stanton County, KS","2019","985","960","25","2.5"
"CN2018900000000","20","189","Stevens County, KS","2019","2543","2476","67","2.6"
"CN2019100000000","20","191","Sumner County, KS","2019","10903","10537","366","3.4"
"CN2019300000000","20","193","Thomas County, KS","2019","4305","4208","97","2.3"
"CN2019500000000","20","195","Trego County, KS","2019","1416","1376","40","2.8"
"CN2019700000000","20","197","Wabaunsee County, KS","2019","3647","3529","118","3.2"
"CN2019900000000","20","199","Wallace County, KS","2019","805","784","21","2.6"
"CN2020100000000","20","201","Washington County, KS","2019","2915","2838","77","2.6"
"CN2020300000000","20","203","Wichita County, KS","2019","1356","1329","27","2"
"CN2020500000000","20","205","Wilson County, KS","2019","3947","3791","156","4"
"CN2020700000000","20","207","Woodson County, KS","2019","1608","1540","68","4.2"
"CN2020900000000","20","209","Wyandotte County, KS","2019","77251","73917","3334","4.3"
"CN2100100000000","21","1","Adair County, KY","2019","7140","6760","380","5.3"
"CN2100300000000","21","3","Allen County, KY","2019","9060","8682","378","4.2"
"CN2100500000000","21","5","Anderson County, KY","2019","12091","11643","448","3.7"
"CN2100700000000","21","7","Ballard County, KY","2019","3524","3323","201","5.7"
"CN2100900000000","21","9","Barren County, KY","2019","18852","18001","851","4.5"
"CN2101100000000","21","11","Bath County, KY","2019","4631","4343","288","6.2"
"CN2101300000000","21","13","Bell County, KY","2019","8452","7909","543","6.4"
"CN2101500000000","21","15","Boone County, KY","2019","71372","68948","2424","3.4"
"CN2101700000000","21","17","Bourbon County, KY","2019","9813","9441","372","3.8"
"CN2101900000000","21","19","Boyd County, KY","2019","17882","16869","1013","5.7"
"CN2102100000000","21","21","Boyle County, KY","2019","12586","11999","587","4.7"
"CN2102300000000","21","23","Bracken County, KY","2019","3843","3656","187","4.9"
"CN2102500000000","21","25","Breathitt County, KY","2019","3493","3231","262","7.5"
"CN2102700000000","21","27","Breckinridge County, KY","2019","7946","7523","423","5.3"
"CN2102900000000","21","29","Bullitt County, KY","2019","43068","41294","1774","4.1"
"CN2103100000000","21","31","Butler County, KY","2019","5133","4886","247","4.8"
"CN2103300000000","21","33","Caldwell County, KY","2019","5473","5200","273","5"
"CN2103500000000","21","35","Calloway County, KY","2019","18799","18032","767","4.1"
"CN2103700000000","21","37","Campbell County, KY","2019","51083","49301","1782","3.5"
"CN2103900000000","21","39","Carlisle County, KY","2019","2235","2142","93","4.2"
"CN2104100000000","21","41","Carroll County, KY","2019","5329","5117","212","4"
"CN2104300000000","21","43","Carter County, KY","2019","9783","8971","812","8.3"
"CN2104500000000","21","45","Casey County, KY","2019","6704","6424","280","4.2"
"CN2104700000000","21","47","Christian County, KY","2019","25085","23683","1402","5.6"
"CN2104900000000","21","49","Clark County, KY","2019","17255","16576","679","3.9"
"CN2105100000000","21","51","Clay County, KY","2019","5196","4831","365","7"
"CN2105300000000","21","53","Clinton County, KY","2019","4009","3788","221","5.5"
"CN2105500000000","21","55","Crittenden County, KY","2019","3810","3625","185","4.9"
"CN2105700000000","21","57","Cumberland County, KY","2019","3185","3051","134","4.2"
"CN2105900000000","21","59","Daviess County, KY","2019","47567","45730","1837","3.9"
"CN2106100000000","21","61","Edmonson County, KY","2019","4841","4602","239","4.9"
"CN2106300000000","21","63","Elliott County, KY","2019","2041","1873","168","8.2"
"CN2106500000000","21","65","Estill County, KY","2019","5388","5120","268","5"
"CN2106700000000","21","67","Fayette County, KY","2019","175864","170028","5836","3.3"
"CN2106900000000","21","69","Fleming County, KY","2019","6200","5866","334","5.4"
"CN2107100000000","21","71","Floyd County, KY","2019","11048","10340","708","6.4"
"CN2107300000000","21","73","Franklin County, KY","2019","25333","24392","941","3.7"
"CN2107500000000","21","75","Fulton County, KY","2019","2058","1941","117","5.7"
"CN2107700000000","21","77","Gallatin County, KY","2019","4109","3945","164","4"
"CN2107900000000","21","79","Garrard County, KY","2019","7710","7352","358","4.6"
"CN2108100000000","21","81","Grant County, KY","2019","11795","11307","488","4.1"
"CN2108300000000","21","83","Graves County, KY","2019","15849","15122","727","4.6"
"CN2108500000000","21","85","Grayson County, KY","2019","11029","10477","552","5"
"CN2108700000000","21","87","Green County, KY","2019","5125","4901","224","4.4"
"CN2108900000000","21","89","Greenup County, KY","2019","13444","12560","884","6.6"
"CN2109100000000","21","91","Hancock County, KY","2019","3994","3841","153","3.8"
"CN2109300000000","21","93","Hardin County, KY","2019","49305","47280","2025","4.1"
"CN2109500000000","21","95","Harlan County, KY","2019","6717","6072","645","9.6"
"CN2109700000000","21","97","Harrison County, KY","2019","8836","8457","379","4.3"
"CN2109900000000","21","99","Hart County, KY","2019","7960","7582","378","4.7"
"CN2110100000000","21","101","Henderson County, KY","2019","22116","21270","846","3.8"
"CN2110300000000","21","103","Henry County, KY","2019","8273","7970","303","3.7"
"CN2110500000000","21","105","Hickman County, KY","2019","1776","1690","86","4.8"
"CN2110700000000","21","107","Hopkins County, KY","2019","18562","17714","848","4.6"
"CN2110900000000","21","109","Jackson County, KY","2019","4132","3865","267","6.5"
"CN2111100000000","21","111","Jefferson County, KY","2019","402518","386373","16145","4"
"CN2111300000000","21","113","Jessamine County, KY","2019","26666","25695","971","3.6"
"CN2111500000000","21","115","Johnson County, KY","2019","6771","6324","447","6.6"
"CN2111700000000","21","117","Kenton County, KY","2019","88326","85189","3137","3.6"
"CN2111900000000","21","119","Knott County, KY","2019","4499","4189","310","6.9"
"CN2112100000000","21","121","Knox County, KY","2019","9946","9351","595","6"
"CN2112300000000","21","123","Larue County, KY","2019","6008","5737","271","4.5"
"CN2112500000000","21","125","Laurel County, KY","2019","24692","23483","1209","4.9"
"CN2112700000000","21","127","Lawrence County, KY","2019","5200","4833","367","7.1"
"CN2112900000000","21","129","Lee County, KY","2019","2064","1947","117","5.7"
"CN2113100000000","21","131","Leslie County, KY","2019","2704","2481","223","8.2"
"CN2113300000000","21","133","Letcher County, KY","2019","6333","5862","471","7.4"
"CN2113500000000","21","135","Lewis County, KY","2019","4654","4241","413","8.9"
"CN2113700000000","21","137","Lincoln County, KY","2019","9349","8877","472","5"
"CN2113900000000","21","139","Livingston County, KY","2019","3669","3459","210","5.7"
"CN2114100000000","21","141","Logan County, KY","2019","12621","12112","509","4"
"CN2114300000000","21","143","Lyon County, KY","2019","3119","2973","146","4.7"
"CN2114500000000","21","145","McCracken County, KY","2019","29258","27819","1439","4.9"
"CN2114700000000","21","147","McCreary County, KY","2019","4702","4418","284","6"
"CN2114900000000","21","149","McLean County, KY","2019","4233","4046","187","4.4"
"CN2115100000000","21","151","Madison County, KY","2019","47575","45743","1832","3.9"
"CN2115300000000","21","153","Magoffin County, KY","2019","3136","2790","346","11"
"CN2115500000000","21","155","Marion County, KY","2019","9744","9368","376","3.9"
"CN2115700000000","21","157","Marshall County, KY","2019","15138","14433","705","4.7"
"CN2115900000000","21","159","Martin County, KY","2019","2772","2582","190","6.9"
"CN2116100000000","21","161","Mason County, KY","2019","7134","6723","411","5.8"
"CN2116300000000","21","163","Meade County, KY","2019","12345","11775","570","4.6"
"CN2116500000000","21","165","Menifee County, KY","2019","2326","2165","161","6.9"
"CN2116700000000","21","167","Mercer County, KY","2019","10070","9602","468","4.6"
"CN2116900000000","21","169","Metcalfe County, KY","2019","4106","3909","197","4.8"
"CN2117100000000","21","171","Monroe County, KY","2019","4700","4516","184","3.9"
"CN2117300000000","21","173","Montgomery County, KY","2019","11705","11084","621","5.3"
"CN2117500000000","21","175","Morgan County, KY","2019","4588","4342","246","5.4"
"CN2117700000000","21","177","Muhlenberg County, KY","2019","10541","9890","651","6.2"
"CN2117900000000","21","179","Nelson County, KY","2019","23276","22217","1059","4.5"
"CN2118100000000","21","181","Nicholas County, KY","2019","3295","3149","146","4.4"
"CN2118300000000","21","183","Ohio County, KY","2019","9827","9326","501","5.1"
"CN2118500000000","21","185","Oldham County, KY","2019","33501","32403","1098","3.3"
"CN2118700000000","21","187","Owen County, KY","2019","5138","4902","236","4.6"
"CN2118900000000","21","189","Owsley County, KY","2019","1135","1055","80","7"
"CN2119100000000","21","191","Pendleton County, KY","2019","7021","6754","267","3.8"
"CN2119300000000","21","193","Perry County, KY","2019","8294","7792","502","6.1"
"CN2119500000000","21","195","Pike County, KY","2019","19977","18819","1158","5.8"
"CN2119700000000","21","197","Powell County, KY","2019","5046","4775","271","5.4"
"CN2119900000000","21","199","Pulaski County, KY","2019","26745","25493","1252","4.7"
"CN2120100000000","21","201","Robertson County, KY","2019","819","775","44","5.4"
"CN2120300000000","21","203","Rockcastle County, KY","2019","6718","6397","321","4.8"
"CN2120500000000","21","205","Rowan County, KY","2019","10456","9904","552","5.3"
"CN2120700000000","21","207","Russell County, KY","2019","6251","5894","357","5.7"
"CN2120900000000","21","209","Scott County, KY","2019","29281","28256","1025","3.5"
"CN2121100000000","21","211","Shelby County, KY","2019","25657","24781","876","3.4"
"CN2121300000000","21","213","Simpson County, KY","2019","8943","8538","405","4.5"
"CN2121500000000","21","215","Spencer County, KY","2019","10268","9903","365","3.6"
"CN2121700000000","21","217","Taylor County, KY","2019","12757","12212","545","4.3"
"CN2121900000000","21","219","Todd County, KY","2019","5447","5232","215","3.9"
"CN2122100000000","21","221","Trigg County, KY","2019","6024","5741","283","4.7"
"CN2122300000000","21","223","Trimble County, KY","2019","3902","3732","170","4.4"
"CN2122500000000","21","225","Union County, KY","2019","6139","5863","276","4.5"
"CN2122700000000","21","227","Warren County, KY","2019","65388","62844","2544","3.9"
"CN2122900000000","21","229","Washington County, KY","2019","6267","6022","245","3.9"
"CN2123100000000","21","231","Wayne County, KY","2019","7465","7033","432","5.8"
"CN2123300000000","21","233","Webster County, KY","2019","5790","5556","234","4"
"CN2123500000000","21","235","Whitley County, KY","2019","13737","13029","708","5.2"
"CN2123700000000","21","237","Wolfe County, KY","2019","1968","1828","140","7.1"
"CN2123900000000","21","239","Woodford County, KY","2019","14949","14481","468","3.1"
"CN2200100000000","22","1","Acadia Parish, LA","2019","23841","22572","1269","5.3"
"CN2200300000000","22","3","Allen Parish, LA","2019","8811","8312","499","5.7"
"CN2200500000000","22","5","Ascension Parish, LA","2019","63953","61318","2635","4.1"
"CN2200700000000","22","7","Assumption Parish, LA","2019","8877","8335","542","6.1"
"CN2200900000000","22","9","Avoyelles Parish, LA","2019","15109","14226","883","5.8"
"CN2201100000000","22","11","Beauregard Parish, LA","2019","14606","13849","757","5.2"
"CN2201300000000","22","13","Bienville Parish, LA","2019","5516","5190","326","5.9"
"CN2201500000000","22","15","Bossier Parish, LA","2019","57604","55129","2475","4.3"
"CN2201700000000","22","17","Caddo Parish, LA","2019","103405","97859","5546","5.4"
"CN2201900000000","22","19","Calcasieu Parish, LA","2019","106140","101802","4338","4.1"
"CN2202100000000","22","21","Caldwell Parish, LA","2019","3773","3544","229","6.1"
"CN2202300000000","22","23","Cameron Parish, LA","2019","3937","3789","148","3.8"
"CN2202500000000","22","25","Catahoula Parish, LA","2019","3379","3162","217","6.4"
"CN2202700000000","22","27","Claiborne Parish, LA","2019","5837","5506","331","5.7"
"CN2202900000000","22","29","Concordia Parish, LA","2019","7019","6566","453","6.5"
"CN2203100000000","22","31","De Soto Parish, LA","2019","10853","10201","652","6"
"CN2203300000000","22","33","East Baton Rouge Parish, LA","2019","230493","220337","10156","4.4"
"CN2203500000000","22","35","East Carroll Parish, LA","2019","1888","1688","200","10.6"
"CN2203700000000","22","37","East Feliciana Parish, LA","2019","7973","7606","367","4.6"
"CN2203900000000","22","39","Evangeline Parish, LA","2019","11889","11186","703","5.9"
"CN2204100000000","22","41","Franklin Parish, LA","2019","7363","6834","529","7.2"
"CN2204300000000","22","43","Grant Parish, LA","2019","8171","7696","475","5.8"
"CN2204500000000","22","45","Iberia Parish, LA","2019","28099","26574","1525","5.4"
"CN2204700000000","22","47","Iberville Parish, LA","2019","14040","13207","833","5.9"
"CN2204900000000","22","49","Jackson Parish, LA","2019","6802","6480","322","4.7"
"CN2205100000000","22","51","Jefferson Parish, LA","2019","213704","204775","8929","4.2"
"CN2205300000000","22","53","Jefferson Davis Parish, LA","2019","13231","12607","624","4.7"
"CN2205500000000","22","55","Lafayette Parish, LA","2019","113607","108685","4922","4.3"
"CN2205700000000","22","57","Lafourche Parish, LA","2019","42008","40124","1884","4.5"
"CN2205900000000","22","59","LaSalle Parish, LA","2019","6715","6429","286","4.3"
"CN2206100000000","22","61","Lincoln Parish, LA","2019","21959","20780","1179","5.4"
"CN2206300000000","22","63","Livingston Parish, LA","2019","68713","65912","2801","4.1"
"CN2206500000000","22","65","Madison Parish, LA","2019","3515","3232","283","8.1"
"CN2206700000000","22","67","Morehouse Parish, LA","2019","9999","9166","833","8.3"
"CN2206900000000","22","69","Natchitoches Parish, LA","2019","16343","15356","987","6"
"CN2207100000000","22","71","Orleans Parish, LA","2019","178834","170121","8713","4.9"
"CN2207300000000","22","73","Ouachita Parish, LA","2019","70082","66346","3736","5.3"
"CN2207500000000","22","75","Plaquemines Parish, LA","2019","10053","9620","433","4.3"
"CN2207700000000","22","77","Pointe Coupee Parish, LA","2019","9867","9339","528","5.4"
"CN2207900000000","22","79","Rapides Parish, LA","2019","55062","52258","2804","5.1"
"CN2208100000000","22","81","Red River Parish, LA","2019","3745","3553","192","5.1"
"CN2208300000000","22","83","Richland Parish, LA","2019","8222","7704","518","6.3"
"CN2208500000000","22","85","Sabine Parish, LA","2019","9172","8705","467","5.1"
"CN2208700000000","22","87","St. Bernard Parish, LA","2019","19854","18885","969","4.9"
"CN2208900000000","22","89","St. Charles Parish, LA","2019","25134","24049","1085","4.3"
"CN2209100000000","22","91","St. Helena Parish, LA","2019","4273","4013","260","6.1"
"CN2209300000000","22","93","St. James Parish, LA","2019","9229","8675","554","6"
"CN2209500000000","22","95","St. John the Baptist Parish, LA","2019","19647","18545","1102","5.6"
"CN2209700000000","22","97","St. Landry Parish, LA","2019","31891","29891","2000","6.3"
"CN2209900000000","22","99","St. Martin Parish, LA","2019","22189","21056","1133","5.1"
"CN2210100000000","22","101","St. Mary Parish, LA","2019","19816","18643","1173","5.9"
"CN2210300000000","22","103","St. Tammany Parish, LA","2019","119300","114335","4965","4.2"
"CN2210500000000","22","105","Tangipahoa Parish, LA","2019","54444","51437","3007","5.5"
"CN2210700000000","22","107","Tensas Parish, LA","2019","1398","1282","116","8.3"
"CN2210900000000","22","109","Terrebonne Parish, LA","2019","46285","44140","2145","4.6"
"CN2211100000000","22","111","Union Parish, LA","2019","9098","8570","528","5.8"
"CN2211300000000","22","113","Vermilion Parish, LA","2019","24087","22870","1217","5.1"
"CN2211500000000","22","115","Vernon Parish, LA","2019","15883","14906","977","6.2"
"CN2211700000000","22","117","Washington Parish, LA","2019","16703","15713","990","5.9"
"CN2211900000000","22","119","Webster Parish, LA","2019","14493","13609","884","6.1"
"CN2212100000000","22","121","West Baton Rouge Parish, LA","2019","13648","13029","619","4.5"
"CN2212300000000","22","123","West Carroll Parish, LA","2019","3630","3243","387","10.7"
"CN2212500000000","22","125","West Feliciana Parish, LA","2019","5378","5158","220","4.1"
"CN2212700000000","22","127","Winn Parish, LA","2019","4867","4558","309","6.3"
"CN2300100000000","23","1","Androscoggin County, ME","2019","55225","53594","1631","3"
"CN2300300000000","23","3","Aroostook County, ME","2019","30205","28814","1391","4.6"
"CN2300500000000","23","5","Cumberland County, ME","2019","164832","160912","3920","2.4"
"CN2300700000000","23","7","Franklin County, ME","2019","14241","13693","548","3.8"
"CN2300900000000","23","9","Hancock County, ME","2019","29089","28064","1025","3.5"
"CN2301100000000","23","11","Kennebec County, ME","2019","61923","60100","1823","2.9"
"CN2301300000000","23","13","Knox County, ME","2019","20194","19605","589","2.9"
"CN2301500000000","23","15","Lincoln County, ME","2019","16789","16290","499","3"
"CN2301700000000","23","17","Oxford County, ME","2019","26333","25381","952","3.6"
"CN2301900000000","23","19","Penobscot County, ME","2019","76836","74339","2497","3.2"
"CN2302100000000","23","21","Piscataquis County, ME","2019","7274","7003","271","3.7"
"CN2302300000000","23","23","Sagadahoc County, ME","2019","19421","18975","446","2.3"
"CN2302500000000","23","25","Somerset County, ME","2019","22429","21428","1001","4.5"
"CN2302700000000","23","27","Waldo County, ME","2019","20613","19953","660","3.2"
"CN2302900000000","23","29","Washington County, ME","2019","13688","13053","635","4.6"
"CN2303100000000","23","31","York County, ME","2019","113644","110554","3090","2.7"
"CN2400100000000","24","1","Allegany County, MD","2019","32491","30812","1679","5.2"
"CN2400300000000","24","3","Anne Arundel County, MD","2019","317780","308068","9712","3.1"
"CN2400500000000","24","5","Baltimore County, MD","2019","457555","440638","16917","3.7"
"CN2400900000000","24","9","Calvert County, MD","2019","50484","48888","1596","3.2"
"CN2401100000000","24","11","Caroline County, MD","2019","18270","17612","658","3.6"
"CN2401300000000","24","13","Carroll County, MD","2019","96466","93645","2821","2.9"
"CN2401500000000","24","15","Cecil County, MD","2019","53453","51323","2130","4"
